@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute lefthand_pos_body-1 numeric
@attribute lefthand_pos_body-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
197,'2018/10/10 16:07:22:568',4,-745.668823,520.753113,1,1
198,'2018/10/10 16:07:22:604',4,-745.185303,519.618896,1,1
199,'2018/10/10 16:07:22:645',4,-745.388794,521.003967,1,1
200,'2018/10/10 16:07:22:670',4,-745.248474,520.474976,1,1
201,'2018/10/10 16:07:22:704',4,-746.710205,520.942017,1,1
202,'2018/10/10 16:07:22:736',4,-746.315308,521.576965,1,1
203,'2018/10/10 16:07:22:768',4,-745.222839,521.286621,1,1
204,'2018/10/10 16:07:22:804',4,-744.824219,520.834717,1,1
205,'2018/10/10 16:07:22:836',4,-746.565796,520.335083,1,1
206,'2018/10/10 16:07:22:867',4,-746.675293,520.412354,1,1
207,'2018/10/10 16:07:22:904',4,-746.726135,519.466309,1,1
208,'2018/10/10 16:07:22:936',4,-746.444946,520.402649,1,1
209,'2018/10/10 16:07:22:972',4,-745.93634,521.035645,1,1
210,'2018/10/10 16:07:23:004',4,-745.161011,523.188782,1,1
211,'2018/10/10 16:07:23:041',4,-743.509827,525.78949,1,1
