@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
189,'2018/10/10 10:46:57:018',2,50,272,0.5,0
190,'2018/10/10 10:46:57:034',2,50,272,0.5,0
191,'2018/10/10 10:46:57:051',2,50,272,0.5,0
192,'2018/10/10 10:46:57:070',2,50,272,0.5,0
193,'2018/10/10 10:47:09:226',3,273,260,0.5,0.5
194,'2018/10/10 10:47:09:242',3,273,260,0.5,0.5
195,'2018/10/10 10:47:09:259',3,273,260,0.5,0.5
196,'2018/10/10 10:47:09:277',3,273,260,0.5,0.5
197,'2018/10/10 10:47:09:294',3,273,260,0.5,0.5
198,'2018/10/10 10:47:09:310',3,273,260,0.5,0.5
199,'2018/10/10 10:47:09:328',3,273,260,0.5,0.5
200,'2018/10/10 10:47:09:346',3,273,260,0.5,0.5
201,'2018/10/10 10:47:09:362',3,273,260,0.5,0.5
202,'2018/10/10 10:47:09:379',3,273,260,0.5,0.5
203,'2018/10/10 10:47:09:395',3,273,260,0.5,0.5
204,'2018/10/10 10:47:09:411',3,273,260,0.5,0.5
205,'2018/10/10 10:47:09:427',3,273,260,0.5,0.5
206,'2018/10/10 10:47:09:443',3,273,260,0.5,0.5
207,'2018/10/10 10:47:09:460',3,273,260,0.5,0.5
208,'2018/10/10 10:47:09:476',3,273,260,0.5,0.5
209,'2018/10/10 10:47:09:495',3,273,260,0.5,0.5
210,'2018/10/10 10:47:09:511',3,273,260,0.5,0.5
211,'2018/10/10 10:47:09:526',3,273,260,0.5,0.5
212,'2018/10/10 10:47:09:543',3,273,260,0.5,0.5
213,'2018/10/10 10:47:09:561',3,273,260,0.5,0.5
214,'2018/10/10 10:47:09:576',3,273,260,0.5,0.5
215,'2018/10/10 10:47:09:593',3,273,260,0.5,0.5
216,'2018/10/10 10:47:09:610',3,273,260,0.5,0.5
217,'2018/10/10 10:47:09:627',3,273,260,0.5,0.5
218,'2018/10/10 10:47:09:643',3,273,260,0.5,0.5
219,'2018/10/10 10:47:09:659',3,273,260,0.5,0.5
220,'2018/10/10 10:47:09:678',3,273,260,0.5,0.5
221,'2018/10/10 10:47:09:693',3,273,260,0.5,0.5
222,'2018/10/10 10:47:09:709',3,273,260,0.5,0.5
223,'2018/10/10 10:47:09:726',3,273,260,0.5,0.5
